"goalDate","games","goals","goalsPerGame"
2023-10-10,3,19,6.333333333333333
2023-10-11,6,47,7.833333333333333
2023-10-12,6,29,4.833333333333333
2023-10-13,2,12,6.0
2023-10-14,13,96,7.384615384615385
2023-10-15,2,16,8.0
2023-10-16,5,24,4.8
2023-10-17,8,42,5.25
2023-10-18,2,16,8.0
2023-10-19,11,70,6.363636363636363
2023-10-20,2,13,6.5
2023-10-21,14,90,6.428571428571429
2023-10-22,2,12,6.0
2023-10-23,1,4,4.0
2023-10-24,15,97,6.466666666666667
2023-10-25,1,10,10.0
2023-10-26,11,58,5.2727272727272725
2023-10-27,5,31,6.2
2023-10-28,8,49,6.125
2023-10-29,4,22,5.5
2023-10-30,8,53,6.625
2023-10-31,2,12,6.0
2023-11-01,4,26,6.5
2023-11-02,11,62,5.636363636363637
2023-11-03,2,11,5.5
2023-11-04,14,109,7.785714285714286
2023-11-05,1,6,6.0
